VID,EID,ASF,STWMV,STPPT,STSLIDES,SLID,SLWMV,SLTN,SLSLIDES,SLPPT,EVTID,Event,Title,Speakers
0035,0023,0035_w.asf,, , ,,,,,,1,IT Forum 2004,Security for Mere Mortals,Steve Lamb
0036,0024,0036_w.asf,hd,✅,✅,27,hd,✅,✅,✅,1,IT Forum 2004,Catastrophic Hardware Failure Recovery with Exchange Server 2003,Eileen Brown
0037,0025,0037_w.asf,hd,✅,✅,28,hd,✅,✅,✅,1,IT Forum 2004,Windows Storage Server 2003,"Justin Alderson, Mat Young"
0038,0026,0038_w.asf,, , ,,,,,,1,IT Forum 2004,SQL Server 2005 Overview,Matthew Stephen
0039,0027,0039_w.asf,, , ,,,,,,1,IT Forum 2004,Storage Technology in the Windows Platform,"Justin Alderson, Mat Young"
0040,0028,0040_w.asf,,✅,✅,,,,,,1,IT Forum 2004,Microsoft Virtual Server 2005: A Technical Overview,John Howard
0041,,,,,,,,,,,,,,
0042,,,,,,,,,,,,,,
0043,0005,0043_w.asf,hd,✅,✅,23,hd,✅,✅,✅,1,IT Forum 2004,Digital Trust - Goals and Obstacles,Rafal Lukawiecki
0044,0033,0044_w.asf,hd,✅,✅,29,hd,✅,✅,✅,6,Tech.Ed 2005,SQL Server 2005: Index Creation Best Practices,Kimberly L. Tripp
0045,0033,0045_w.asf,hd,✅,✅,30,hd,✅,✅,✅,6,Tech.Ed 2005,SQL Server 2005: Index Maintenance Best Practices,Kimberly L. Tripp
0046,0031,0046_w.asf,, , ,,,,,,5,Briefing Grands Comptes 2005,,
0047,0031,0047_w.asf,hd,✅,✅,33,,,,,5,Briefing Grands Comptes 2005,Windows Server,"Pierre Bugnon, Stéphane Sabbague"
0048,0031,0048_w.asf,hd,✅,✅,34,,,,,5,Briefing Grands Comptes 2005,Applications d'infrastructures,Pascal Paré
0049,0031,0049_w.asf,hd,✅,✅,35,,,,,5,Briefing Grands Comptes 2005,Infrastructure Information Workers,Eric Mijonnet
0050,0031,0050_w.asf,hd,✅,✅,36,,,,,5,Briefing Grands Comptes 2005,Microsoft Business Solutions,Pascal Paré
0051,0031,0051_w.asf,hd,✅,✅,37,,,,,5,Briefing Grands Comptes 2005,Valorisation du Poste de Travail,Stéphane Sabbague
0052,0031,0052_w.asf,hd,✅,✅,38,,,,,5,Briefing Grands Comptes 2005,Stratégie Communication Temps-réel Microsoft,Eric Mijonnet
0053,0031,0053_w.asf,hd,✅,✅,39,,,,,5,Briefing Grands Comptes 2005,"Spyware et logiciels espions, comment se protéger ?",Pascal Paré
0054,0031,0054_w.asf,hd,✅,✅,40,,,,,5,Briefing Grands Comptes 2005,Outils d'aide à la Migration vers Windows Server 2003,"Pierre Bugnon, Stéphane Sabbague"
0055,0031,0055_w.asf,hd,✅,✅,41,,,,,5,Briefing Grands Comptes 2005,SQL Server 2005 et XML,Pascal Paré
0056,0031,0056_w.asf,hd,✅,✅,42,,,,,5,Briefing Grands Comptes 2005,Déploiement des Postes de Travail avec « Zero Touch »,"Pierre Bugnon, Stéphane Sabbague"
0057,0031,0057_w.asf,hd,✅,✅,43,,,,,5,Briefing Grands Comptes 2005,Évolutions de Windows Server 2003,"Pierre Bugnon, Stéphane Sabbague"
0058,0034,0058_w.asf,hd,✅,✅,44,hd,✅,✅,✅,6,Tech.Ed 2005,Linux and Open Source Software  A Technical Perspective and Overview,Bill Hilf
0059,0034,0059_w.asf,hd,✅,✅,45,hd,✅,✅,✅,6,Tech.Ed 2005,Reduce IT Complexity Using Windows Server System Products,Bill Hilf
0060,0033,0060_w.asf,hd,✅,✅,57,hd,✅,✅,✅,6,Tech.Ed 2005,SQL Server 2005 VLDB Availability and Recovery Strategies,Kimberly L. Tripp
0061,0035,0061_w.asf,hd,✅,✅,58,,,,,7,SBS 2003 vs Linux,Firewall Security: Microsoft - Linux,Martijn Bellaard
0062,0035,0062_w.asf,hd,✅,✅,59,,,,,7,SBS 2003 vs Linux,Small Business Server 2003 - Linux,Martijn Bellaard
0063,0036,0063a_w.asf,hd,✅,✅,51,hd,✅,✅,✅,8,SQL PASS 2005,Keynote: SQL Server 2005,Bill Baker
0064,0036,0064_w.asf,hd,✅,✅,50,hd,✅,✅,✅,8,SQL PASS 2005,Keynote: What's Next for Database? ,Jim Gray
0065,0036,0065b_w.asf,hd,✅,✅,52,hd,✅,✅,✅,8,SQL PASS 2005,Data Mining with SQL Sever 2005,Jamie MacLennan
0066,0036,0066b_w.asf,hd,✅,✅,53,hd,✅,✅,✅,8,SQL PASS 2005,SQL Server 2005 OS Foundation Elements,Bob Dorr
0067,0036,0067_w.asf,hd,✅,✅,63,,,,,9,Microsoft Management Summit 2005,Dynamic Services Initiative: Drilldown,Michael Emanuel
0068,0037,0068_w.asf,hd,✅,✅,60,,,,,9,Microsoft Management Summit 2005,Dynamic Services Initiative,Kirill Tatarinov
0069,0037,0069b_w.asf,hd,✅,✅,62,hd,✅,✅,✅,9,Microsoft Management Summit 2005,System Management Server 2003: Technical Drilldown,Bill Anderson
0070,0037,0070_w.asf,hd,✅,✅,61,hd,✅,✅,✅,9,Microsoft Management Summit 2005,"Microsoft Operations Server 2003: Technical Drilldown, Part 1",Vlad Joanovic
0071,0037,0071_w.asf,hd,✅,✅,65,hd,✅,✅,✅,9,Microsoft Management Summit 2005,"Microsoft Operations Server 2003: Technical Drilldown, Part 2",Vlad Joanovic
0072,0036,0072a_w.asf,hd,✅,✅,54,hd,✅,✅,✅,8,SQL PASS 2005,Best Practices for Upgrading to SQL Server 2005,Michael Raheem
0073,0038,0073_w.asf,,✅,✅,55,,✅,✅,✅,21,Windows Kernel Internals,"Process and Thread Troubleshooting, Part 1",David Solomon
0074,0038,0074_w.asf,,✅,✅,56,,✅,✅,✅,21,Windows Kernel Internals,"Process and Thread Troubleshooting, Part 2",David Solomon
0075,0038,0075_w.asf,,✅,✅,64,,✅,✅,✅,21,Windows Kernel Internals,Understanding and Troubleshooting Memory Problems,David Solomon
0076,0052,0076_w.asf,,✅,✅,,,,,,10,IT Mythbusters,TechNet MSDN Keynote 2005,"Tony Krijnen, Daniel van Soest, Arie leeuwesteijn"
0077,0052,0077_w.asf,hd,✅,✅,,,,,,10,IT Mythbusters,Windows Vista: Een Eerste Kennismaking,Tony Krijnen
0078,0052,0078_w.asf,hd,✅,✅,,,,,,10,IT Mythbusters,SQL Server 2005 Business Intelligence,Frank Snoek
0079,0052,0079_w.asf,hd,✅,✅,,,,,,10,IT Mythbusters,Exchange SP2 en Mobility,Stevenvan Houttum
0080,0052,0080_w.asf,,✅,✅,,,,,,10,IT Mythbusters,Netwerkbeveiliging met Standaard: Windows Server 2003 technologie,Martijn Bellaard
0081,0052,0081_w.asf,hd,✅,✅,,,,,,10,IT Mythbusters,Tips & Tricks beveiliging Windows met Least Privilege,Daniel van Soest
0082,0052,0082_w.asf,,✅,✅,,,,,,10,IT Mythbusters,Small Business Server 2003,Hugo Leijtens
0083,0039,0083b_w.asf,hd,✅,✅,77,hd,✅,✅,✅,11,IT Forum 2005,UNIX Interoperability in Windows Server 2003 R2,Jason Zions
0084,0039,0084_w.asf,hd,✅,✅,78,hd,✅,✅,✅,11,IT Forum 2005,Active Directory Federation Services: WebSSO and Identity Federation using Windows Server 2003 R2,Don Schmidt
0085,0039,0085_w.asf,hd,✅,✅,79,hd,✅,✅,✅,11,IT Forum 2005,Introducing SSMA: Migrating from Oracle to SQL Server with 80% Less Effort,Kevin Ashby
0086,0039,0086_w.asf,hd,✅,✅,80,hd,✅,✅,✅,11,IT Forum 2005,Real-Time Business Intelligence (BI) with SQL Server 2005 Analysis Services,Marin Bezic
0087,0039,0087_w.asf,hd,✅,✅,81,,,,,11,IT Forum 2005,Windows Vista: Overview and Roadmap,Alexander Holy
0088,0039,,hd, ,✅,82,hd,✅,✅, ,11,IT Forum 2005,What's New in Windows Server 2003 R2,John Craddock
0089,0036,0089_w.asf,hd,✅,✅,46,hd,✅,✅,✅,8,SQL PASS 2005,Upgrading the Database Engine / New features in SQL Server 2005 - Part 1,Don Vilen
0090,0036,0090_w.asf,hd,✅,✅,47,hd,✅,✅,✅,8,SQL PASS 2005,Upgrading the Database Engine / New features in SQL Server 2005 - Part 2,Don Vilen
0091,0036,0091a_w.asf,hd,✅,✅,48,hd,✅,✅,✅,8,SQL PASS 2005,Upgrading to SQL Server 2005 Analysis Services,Thierry D'Hers
0092,0036,0092b_w.asf,hd,✅,✅,49,hd,✅,✅,✅,8,SQL PASS 2005,Upgrading Data Tranformation Services,James Howey
0093,0036,0093b_w.asf,hd,✅,✅,83,hd,✅,✅,✅,8,SQL PASS 2005,Upgrading Reporting Services and Notification Services,Lukasz Pawlowski
0094,0041,0094_w.asf,hd,,,84,,,,,13,Vista Mania,"Windows Vista Lightning Demo, Part 1",Tony Krijnen
0095,0041,0095b_w.asf,hd,,,85,,,,,13,Vista Mania,"Windows Vista Lightning Demo, Part 2",Tony Krijnen
0096,0044,0096_w.asf,,✅,✅,86,,✅,✅,✅,16,Exchange Tour Unplugged,Exchange Unplugged,Eileen Brown
0097,0042,0097_w.asf,hd,✅,✅,87,hd,✅,✅,✅,14,Focus on Web Hosting 3.0,Introduction to Windows Web Hosting,Sean Foley
0098,0042,0098a_w.asf,hd,✅,✅,88,hd,✅,✅,✅,14,Focus on Web Hosting 3.0,Introduction to Windows Web Hosting,Mario Briana
0099,0042,0099_w.asf,hd,✅,✅,89,hd,✅,✅,✅,14,Focus on Web Hosting 3.0,Hosted Messaging and Collaboration,Jan Hedlund
0100,0042,0100_w.asf,hd,✅,✅,90,hd,✅,✅,✅,14,Focus on Web Hosting 3.0,Web Site Starters for Windows SWSoft Sitebuilder,Bernhard Frank
0101,0042,0101_w.asf,hd,✅,✅,91,hd,✅,✅,✅,14,Focus on Web Hosting 3.0,Web Site Starters for Windows DotNetNuke,Mario Briana
0102,0042,0102_w.asf,hd,✅,✅,92,hd,✅,✅,✅,14,Focus on Web Hosting 3.0,IIS 7 Web Technologies,Bernhard Frank
0103,0042,0103_w.asf,hd,✅,✅,93,hd,✅,✅,✅,14,Focus on Web Hosting 3.0,License Program (SPLA) Overview and Advantages,Jan Hedlund
0104,0043,0104_w.asf,,✅,✅,94,,,,,15,TechNet Evolution Workshop,Windows Vista: Bringing Clarity to Your World,Fabrizio Albergati
0105,0043,0105_w.asf,,✅,✅,95,,,,,15,TechNet Evolution Workshop,Windows Vista: Sicurezza e Protezione dei Dati,Piergiorgio Malusardi
0106,0043,0106_w.asf,,✅,✅,96,,,,,15,TechNet Evolution Workshop,Distribuzione du un Desktop Windows Vista,Fabrizio Grossi
0107,0043,0107_w.asf,,✅,✅,97,,,,,15,TechNet Evolution Workshop,Windows Server 2003 R2 Launch Keynote,Manuel Maina
0108,0043,0108_w.asf,,✅,✅,98,,,,,15,TechNet Evolution Workshop,What Windows Server 2003 R2 Distributed File System Can Do for Branch / Remote Office Scenarios,
0109,0043,0109_w.asf,,✅,✅,99,,,,,15,TechNet Evolution Workshop,Implementare la Collaborazione tra Aziende e Gestire l'accesso ad Applicazioni Web con Active Directory Federation Services,Fabrizio Grossi
0110,0043,0110_w.asf,,✅,✅,100,,,,,15,TechNet Evolution Workshop,Windows Server 2003 R2 Interoperabilita con Unix,Piergiorgio Malusardi
0111,0039,0111a_w.asf,,✅,✅,101,,✅,✅,✅,11,IT Forum 2005,Access Control Lists (ACL) In-Depth,Jesper M. Johannson
0112,0039,0112_w.asf,,✅,✅,102,,✅,✅,✅,11,IT Forum 2005,Is that Application Really Safe,Jesper M. Johannson
0113,0039,0113_w.asf,hd,✅,✅,103,hd,✅,✅,✅,11,IT Forum 2005,Authentication for UNIX and Linux Systems with Windows Active Directory,Jason Zions
0114,0039,0114_w.asf,hd,✅,✅,104,hd,✅,✅,✅,11,IT Forum 2005,Security Policy Management and the Security Configuration Wizard,Jesper M. Johannson
0115,,,,,,105,,,,,,,,
0116,,,,,,106,,,,,,,,
0117,,,,,,107,,,,,,,,
0118,,,,,,108,,,,,,,,
0119,0045,0119_w.asf,,✅,✅,109,,✅,✅,✅,17,Security Seminar,Microsoft Security Seminar '06,Peter Watson
0120,0045,0120_w.asf,,✅,✅,110,,✅,✅,✅,17,Security Seminar,Creating Reliable and Robust Applications with Visual Studio 2005 and SQL Server 2005,Andrew Coates
0121,0045,0121_w.asf,,✅,✅,111,,✅,✅,✅,17,Security Seminar,Building an Agile Infrastructure to Support Secure Mobility,"Jamie Sharp, Johann Kruse"
0122,0045,0122_w.asf,,✅,✅,112,,✅,✅,✅,17,Security Seminar,"Security, Privacy and Compliance for the Application Developer",Graham Elliott
0123,0045,0123_w.asf,,✅,✅,113,,✅,✅,✅,17,Security Seminar,ACE Threat Modeling,Rocky Heckman
0124,0045,0124_w.asf,,✅,✅,114,,✅,✅,✅,17,Security Seminar,Building Identity Management Solutions,Michael Kleef
0125,0045,0125_w.asf,,✅,✅,115,,✅,✅,✅,17,Security Seminar,Domain and Server Isolation using IPsec,Jesper M. Johannson
0126,0045,0126_w.asf,,✅,✅,116,,✅,✅,✅,17,Security Seminar,Building and Managing a Resilient Active Directory Infrastructure with SMS and MOM,Jeff Alexander
0127,0045,0127a_w.asf,,✅,✅,117,,✅,✅,✅,17,Security Seminar,Managing Risk: Application Development Principles and Best Practices,Dave Glover
0128,0046,0128_w.asf,hd,✅,✅,118,,,,,18,Briefing Grands Comptes 2006,L' Individu au Coeur de la Performance,Laurent Delaporte
0129,0046,0129_w.asf,hd,✅,✅,119,,,,,18,Briefing Grands Comptes 2006,Le Systeme d'information: Vision et Stratégie,"Philippe Ouensanga, Régis Mauger"
0130,0046,0130_w.asf,hd,✅,✅,120,,,,,18,Briefing Grands Comptes 2006,L'actualite Plateforme Serveurs,Fabrice Meillon
0131,0046,0131_w.asf,hd,✅,✅,121,,,,,18,Briefing Grands Comptes 2006,Actualiet Administration des Systemes ,Fabrice Meillon
0132,0046,0132_w.asf,hd,✅,✅,122,,,,,18,Briefing Grands Comptes 2006,La Strategie en Matiere de Securite: Menaces et Défenses,Stanislas Quastana
0133,0046,0133_w.asf,hd,✅,✅,123,,,,,18,Briefing Grands Comptes 2006,Microsoft Office 2007,Benjamin Nathan
0134,0046,0134_w.asf,hd,✅,✅,124,,,,,18,Briefing Grands Comptes 2006,Microsoft Dynamics: Les Nouveautés,Jean-Christophe Dupuy
0135,0046,0135_w.asf,hd,✅,✅,125,,,,,18,Briefing Grands Comptes 2006,Microsoft Windows Vista: Evolution du Poste de Travail,Microsoft Architects Team
0136,0047,0136a_w.asf,,✅,✅,126,,✅,✅,✅,19,Technical Summit Tour,Überblick über Architektur und Tools in SQL Server 2005,"Steffen Krause, Dariusz Parys"
0137,0047,0137a_w.asf,,✅,✅,127,,✅,✅,✅,19,Technical Summit Tour,Neues in und zu Windows Mobile,"Frank Prengel, Dirk Primbs"
0138,0047,0138a_w.asf,,✅,✅,128,,✅,✅,✅,19,Technical Summit Tour,Hochverfügbarkeit und Skalierbarkeit mit dem Neuen SQL Server,"Steffen Krause, Ralph Kemperdick"
0139,0047,0139a_w.asf,,✅,✅,129,,✅,✅,✅,19,Technical Summit Tour,SQL Server 2005 Programmability,"Dariuzs Parys, Peter Koen"
0140,0047,0140a_w.asf,,✅,✅,130,,✅,✅,✅,19,Technical Summit Tour,Geräte unter Kontrolle: Verwaltung und Deployment mit dem SMS 2003 Device Management Feature Pack,Martin Santospirito
0141,0047,0141a_w.asf,,✅,✅,131,,✅,✅,✅,19,Technical Summit Tour,Sicheres und Einfaches Deployment mit ClickOnce,"Jens Haeupel, Daniel Melanchthon"
0142,0047,0142a_w.asf,,✅,✅,132,,✅,✅,✅,19,Technical Summit Tour,Business Intelligence in SQL Server 2005,"Steffen Krause, Ralph Kemperdick"
0143,0047,0143a_w.asf,,✅,✅,133,,✅,✅,✅,19,Technical Summit Tour,Daten Mobil: SQL Server 2005 Mobile Edition,Dirk Primbs
0144,0047,0144a_w.asf,,✅,✅,134,,,,,19,Technical Summit Tour,Closing Session,Frank Fischer
0145,0048,0145_w.asf,,✅,✅,135,,✅,✅,✅,20,TechNet IT Forum 2005 - Highlights,Upgrading to SQL Server 2005,Tony Rogerson
0146,0048,0146_w.asf,,✅,✅,136,,✅,✅,✅,20,TechNet IT Forum 2005 - Highlights,Microsoft Windows Server 2003 R2 Technical Overview,Andy Malone
0147,0048,0147_w.asf,,✅,✅,137,,✅,✅,✅,20,TechNet IT Forum 2005 - Highlights,Leveraging your Active Directory for Perimeter Defense,Richard Warren
0148,0049,0148_w.asf,,✅,✅,138,,✅,✅,✅,22,TechNet Videos - Webcasts 2006,Sichere Exchange Veröffentlichung mit ISA Server 2004,"Daniel Melanchthon, Michael Kalbe"
0149,0049,0149_w.asf,,✅,✅,139,,✅,✅,✅,22,TechNet Videos - Webcasts 2006,Microsoft Operations Manager 2005,"Sandra C. Schäfer, Michael Korp"
0150,0049,0150_w.asf,,✅,✅,140,,✅,✅,✅,22,TechNet Videos - Webcasts 2006,Small Business Server 2003,"Daniel Melanchthon, Michael Kalbe"
0151,0049,0151_w.asf,,✅,✅,141,,✅,✅,✅,22,TechNet Videos - Webcasts 2006,Security Talk: Über Microsoft Security Portfolio,"Michael Kalbe, Arno Edelmann"
0152,0049,0152_w.asf,,✅,✅,142,,✅,✅,✅,22,TechNet Videos - Webcasts 2006,Sichere drahtlose Netzwerke,"Daniel Melanchthon, Michael Kalbe"
0153,0049,0153_w.asf,,✅,✅,143,,✅,✅,✅,22,TechNet Videos - Webcasts 2006,Das Microsoft System Center: Der Systems Management Server 2003,"Sandra C. Schäfer, Michael Korp"
0154,0049,0154_w.asf,,✅,✅,144,,✅,✅,✅,22,TechNet Videos - Webcasts 2006,Windows Server 2003: Marktüberblick und technische Einführung,"Jochen Katz,Michael Korp"
0155,0050,0155_w.asf,,✅,✅,145,,✅,✅,✅,23,Reality Bytes Broadcasting,Keynote - De Reality Bytes Broadcasting Show,"Tony Krijnen,Daniël van Soest"
0156,0050,0156_w.asf,,✅,✅,146,,✅,✅,✅,23,Reality Bytes Broadcasting,De Nieuwe Mogelijkheden van Windows Server 2003 R2,Daniël van Soest
0157,0050,0157_w.asf,,✅,✅,147,,✅,✅,✅,23,Reality Bytes Broadcasting,Beveiliging in Microsoft Windows Vista,Tony Krijnen
0158,0050,0158_w.asf,,✅,✅,148,,✅,✅,✅,23,Reality Bytes Broadcasting,Microsoft Office 2007 en de Nieuwe Server Mogelijkheden,Bart Wessels
0159,0050,0159_w.asf,,✅,✅,149,,✅,✅,✅,23,Reality Bytes Broadcasting,WinFX Introductie,Martin Tirion
0160,0050,0160_w.asf,,✅,✅,150,,✅,✅,✅,23,Reality Bytes Broadcasting,Windows 2003 SP1 Terminal Services en Citrix Presentation Server 4.0,Ardan van der Voort van der Klei
0161,0050,0161_w.asf,,✅,✅,151,,✅,✅,✅,23,Reality Bytes Broadcasting,Bent u Klaar Voor de Uitdaging van IPv6?,Martijn Bellaard
0162,0050,0162_w.asf,,✅,✅,152,,✅,✅,✅,23,Reality Bytes Broadcasting,Beheer van de Microsoft Exchange Server Omgeving,Steven van Houttum
0163,0050,0163_w.asf,,✅,✅,153,,✅,✅,✅,23,Reality Bytes Broadcasting,Windows Workflow Foundation,Dennis Mulder
0164,0050,0164_w.asf,,✅,✅,154,,✅,✅,✅,23,Reality Bytes Broadcasting,BizTalk 2006,Erik Oppedijk
0165,0053,0165_w.asf,,✅,✅,155,,✅,✅,✅,24,Ready To Rock - The Tech Days,Acesso ao Exchange Server através do Seu Dispositivo Móvel,Scott Schnoll
0166,0053,0166_w.asf,,✅,✅,156,,✅,✅,✅,24,Ready To Rock - The Tech Days,Exchange Server: Presente e Futuro,"Miguel Teixeira, Troy Zaboukos"
0167,0053,0167_w.asf,,✅,✅,157,,✅,✅,✅,24,Ready To Rock - The Tech Days,Virtual Server e o Futuro da Virtualização no Windows,"Luis Caldeira, Virgílio Ribeiro"
0168,0053,0168_w.asf,,✅,✅,158,,✅,✅,✅,24,Ready To Rock - The Tech Days,Appliance ISA: Quebrar o Mito da Firewall Tradicional,Luís Carvalho
0169,0051,0169_w.asf,,✅,✅,159,,✅,✅,✅,24,Ready To Rock - The Tech Days,Linux e Open Source: Visão Geral e Perspectiva Técnica,Marcos Santos
0170,0051,0170_w.asf,,✅,✅,160,,✅,✅,✅,24,Ready To Rock - The Tech Days,Boas Práticas na Criação de Índices com o SQL Server 2005,Miguel Barros
0171,0051,0171_w.asf,,✅,✅,161,,✅,✅,✅,25,WinHEC 2006,Keynote: Advancing the Platform,Bill Gates
0172,0051,0172_w.asf,,✅,✅,162,,✅,✅, ,25,WinHEC 2006,Keynote: The Platform for PC Innovation,Will Poole
0173,0051,0173_w.asf,,✅,✅,163,,✅,✅,✅,25,WinHEC 2006,Keynote: Winning with Windows Server,Bob Muglia
0174,0051,0174_w.asf,,✅,✅,164,,✅,✅,✅,25,WinHEC 2006,Windows Vista Performance Technologies,Gabriel Aul
0175,0051,0175_w.asf,,✅,✅,165,,✅,✅,✅,25,WinHEC 2006,Windows Vista System Requirements and WinSAT,Richard G. Russell
0176,0051,0176_w.asf,,✅,✅,166,,✅,✅,✅,25,WinHEC 2006,Power Management In Windows Vista,Pat Stemen
0177,0051,0177_w.asf,,✅,✅,167,,✅,✅,✅,25,WinHEC 2006,Server Hardware Roadmap,Sean McGrane
0178,0051,0178_w.asf,,✅,✅,168,,✅,✅,✅,25,WinHEC 2006,Kernel Enhancements For Windows Server Longhorn,Mike Tricker
0179,0051,0179_w.asf,,✅,✅,169,,✅,✅,✅,25,WinHEC 2006,Windows Server Virtualization Scenarios and Features,"Jeff Woolsey,Chris Corio"
0180,0051,0180_w.asf,,✅,✅,170,,✅,✅,✅,25,WinHEC 2006,Windows Vista and Windows Server Longhorn Security Platform Enhancements,"Avi Ben-Menahem,Chris Corio"
0181,0051,0181_w.asf,,✅,✅,171,,✅,✅,✅,25,WinHEC 2006,BitLocker Drive Encryption Hardware Enhanced Data Protection,Shon Eizenhoefer
0182,0051,0182_w.asf,,✅,✅,172,,✅,✅,✅,25,WinHEC 2006,Enterprise and Server Use of Microsoft BitLocker Drive Encryption,"Stephen Heil, Xian Ke"
0183,0051,0183_w.asf,,✅,✅,173,,✅,✅,✅,25,WinHEC 2006,Hybrid Hard Disk and ReadyDrive Technology,Ruston Panabaker
0184,0051,0184_w.asf,,✅,✅,174,,✅,✅,✅,25,WinHEC 2006,Audio and Video Device Guidelines for the Microsoft Real-Time Communication Platforms,Regis Crinon
0185,0051,0185_w.asf,,✅,✅,175,,✅,✅,✅,25,WinHEC 2006,HD DVD and Windows Vista: Futures and Opportunities,Jordi Ribas
0186,0051,0186_w.asf,hd,✅,✅,176,,✅,✅,✅,25,WinHEC 2006,Windows Server Compute Cluster Server and Desk-side Clusters,Anand Krishnan
0187,,,,✅,✅,177,,,,,25,WinHEC 2006,Kernel Enhancements For Windows Server Longhorn,Mike Tricker
0188,,,,,,178,,,,,,,,
